Country,Year,Number below $3 a day
Albania,1996,94022
Albania,2002,127981
Albania,2005,79811
Albania,2008,24383
Albania,2012,52050
Albania,2014,106207
Albania,2015,32116
Albania,2016,32805
Albania,2017,41505
Albania,2018,28951
Albania,2019,7774
Albania,2020,9675
Algeria,1988,2956552
Algeria,1995,3361476
Algeria,2011,0
Angola,2000,4396533
Angola,2008,4856783
Angola,2018,12370168
Argentina (urban),1980,0
Argentina (urban),1986,332967
Argentina (urban),1987,399474
Argentina (urban),1991,371912
Argentina (urban),1992,735617
Argentina (urban),1993,872868
Argentina (urban),1994,823949
Argentina (urban),1995,1582863
Argentina (urban),1996,1698221
Argentina (urban),1997,1659340
Argentina (urban),1998,1827357
Argentina (urban),1999,1933148
Argentina (urban),2000,2436819
Argentina (urban),2001,3604821
Argentina (urban),2002,5806569
Argentina (urban),2003,2821463
Argentina (urban),2004,2099848
Argentina (urban),2005,1562206
Argentina (urban),2006,1238049
Argentina (urban),2007,997655
Argentina (urban),2008,959954
Argentina (urban),2009,906921
Argentina (urban),2010,575574
Argentina (urban),2011,458596
Argentina (urban),2012,487751
Argentina (urban),2013,423223
Argentina (urban),2014,416356
Argentina (urban),2016,510450
Argentina (urban),2017,452771
Argentina (urban),2018,672105
Argentina (urban),2019,696965
Argentina (urban),2020,914522
Argentina (urban),2021,569627
Argentina (urban),2022,542803
Argentina (urban),2023,487367
Armenia,1999,670487
Armenia,2001,775368
Armenia,2002,632480
Armenia,2003,472444
Armenia,2004,327503
Armenia,2005,192385
Armenia,2006,141145
Armenia,2007,114672
Armenia,2008,61912
Armenia,2009,95481
Armenia,2010,89654
Armenia,2011,94761
Armenia,2012,75566
Armenia,2013,89052
Armenia,2014,103602
Armenia,2015,85703
Armenia,2016,75286
Armenia,2017,70388
Armenia,2018,86001
Armenia,2019,71924
Armenia,2020,44914
Armenia,2021,62744
Armenia,2022,56322
Armenia,2023,57665
Australia,1981,148263
Australia,1985,158090
Australia,1989,125145
Australia,1995,178740
Australia,2001,191218
Australia,2003,196681
Australia,2004,142028
Australia,2008,142253
Australia,2010,76928
Australia,2014,117022
Australia,2016,120650
Australia,2018,124091
Austria,1994,18326
Austria,1995,0
Austria,1996,0
Austria,1997,19600
Austria,1998,19100
Austria,1999,18063
Austria,2000,19599
Austria,2003,30311
Austria,2004,6673
Austria,2005,12645
Austria,2006,12017
Austria,2007,31641
Austria,2008,42365
Austria,2009,57442
Austria,2010,43458
Austria,2011,40013
Austria,2012,56609
Austria,2013,28662
Austria,2014,19166
Austria,2015,59169
Austria,2016,58017
Austria,2017,30768
Austria,2018,50246
Austria,2019,57422
Austria,2020,65861
Austria,2021,43509
Austria,2022,58227
Azerbaijan,1995,1510451
Azerbaijan,2001,924516
Azerbaijan,2002,19809
Azerbaijan,2003,20482
Azerbaijan,2004,3890
Azerbaijan,2005,0
