Entity,Code,Year,Annual number of objects launched into outer space
China,CHN,1970,1
China,CHN,1971,1
China,CHN,1974,1
China,CHN,1975,3
China,CHN,1976,2
China,CHN,1978,1
China,CHN,1981,3
China,CHN,1982,1
China,CHN,1983,1
China,CHN,1984,3
China,CHN,1985,1
China,CHN,1986,2
China,CHN,1987,2
China,CHN,1988,4
China,CHN,1990,6
China,CHN,1991,1
China,CHN,1992,2
China,CHN,1993,1
China,CHN,1994,5
China,CHN,1995,1
China,CHN,1996,3
China,CHN,1997,7
China,CHN,1998,10
China,CHN,1999,10
China,CHN,2000,6
China,CHN,2001,2
China,CHN,2002,7
China,CHN,2003,9
China,CHN,2004,10
China,CHN,2005,7
China,CHN,2006,8
China,CHN,2007,10
China,CHN,2008,17
China,CHN,2009,8
China,CHN,2010,20
China,CHN,2011,20
China,CHN,2012,26
China,CHN,2013,19
China,CHN,2014,25
China,CHN,2015,38
China,CHN,2016,38
China,CHN,2017,31
China,CHN,2018,95
China,CHN,2019,76
China,CHN,2020,73
China,CHN,2021,110
China,CHN,2022,182
China,CHN,2023,210
China,CHN,2024,266
European Space Agency,,1968,5
European Space Agency,,1969,2
European Space Agency,,1972,6
European Space Agency,,1975,2
European Space Agency,,1977,1
European Space Agency,,1978,2
European Space Agency,,1979,1
European Space Agency,,1981,3
European Space Agency,,1983,2
European Space Agency,,1985,1
European Space Agency,,1988,2
European Space Agency,,1989,2
European Space Agency,,1990,2
European Space Agency,,1991,1
European Space Agency,,1992,1
European Space Agency,,1995,3
European Space Agency,,1997,3
European Space Agency,,1998,1
European Space Agency,,1999,1
European Space Agency,,2000,4
European Space Agency,,2001,2
European Space Agency,,2002,4
European Space Agency,,2003,3
European Space Agency,,2004,2
European Space Agency,,2005,6
European Space Agency,,2008,3
European Space Agency,,2009,5
European Space Agency,,2010,1
European Space Agency,,2011,3
European Space Agency,,2012,3
European Space Agency,,2013,6
European Space Agency,,2014,2
European Space Agency,,2015,3
European Space Agency,,2016,4
European Space Agency,,2017,2
European Space Agency,,2018,4
European Space Agency,,2019,2
European Space Agency,,2020,2
European Space Agency,,2023,2
European Space Agency,,2024,5
France,FRA,1965,3
France,FRA,1966,1
France,FRA,1967,2
France,FRA,1970,2
France,FRA,1971,2
France,FRA,1972,1
France,FRA,1974,2
France,FRA,1975,7
France,FRA,1977,2
France,FRA,1984,1
France,FRA,1985,1
France,FRA,1986,1
France,FRA,1988,2
France,FRA,1990,2
France,FRA,1991,2
France,FRA,1992,2
France,FRA,1993,3
France,FRA,1995,3
France,FRA,1996,1
France,FRA,1998,1
France,FRA,1999,2
France,FRA,2001,1
France,FRA,2002,3
France,FRA,2004,7
France,FRA,2005,1
France,FRA,2006,3
France,FRA,2008,1
France,FRA,2009,3
France,FRA,2010,9
France,FRA,2011,19
France,FRA,2012,5
France,FRA,2013,8
France,FRA,2014,2
France,FRA,2016,2
France,FRA,2017,2
France,FRA,2018,2
France,FRA,2019,7
France,FRA,2020,4
France,FRA,2021,9
France,FRA,2022,10
France,FRA,2023,12
France,FRA,2024,22
Germany,DEU,1969,1
Germany,DEU,1970,1
Germany,DEU,1972,1
Germany,DEU,1974,4
Germany,DEU,1975,2
Germany,DEU,1976,1
Germany,DEU,1983,1
Germany,DEU,1984,1
Germany,DEU,1987,1
Germany,DEU,1988,1
Germany,DEU,1989,2
Germany,DEU,1990,2
Germany,DEU,1991,1
Germany,DEU,1992,1
Germany,DEU,1993,1
Germany,DEU,1994,3
Germany,DEU,1995,2
Germany,DEU,1996,1
Germany,DEU,1997,2
Germany,DEU,1998,3
Germany,DEU,1999,2
Germany,DEU,2000,3
Germany,DEU,2001,1
Germany,DEU,2002,5
Germany,DEU,2005,1
Germany,DEU,2006,1
Germany,DEU,2007,3
Germany,DEU,2008,9
Germany,DEU,2009,4
Germany,DEU,2010,2
Germany,DEU,2012,1
Germany,DEU,2013,6
Germany,DEU,2014,1
Germany,DEU,2016,2
Germany,DEU,2017,2
Germany,DEU,2018,11
Germany,DEU,2019,11
Germany,DEU,2020,5
Germany,DEU,2021,9
Germany,DEU,2022,5
Germany,DEU,2023,9
Germany,DEU,2024,7
India,IND,1975,1
India,IND,1979,1
India,IND,1980,1
India,IND,1981,3
India,IND,1982,2
India,IND,1983,2
India,IND,1988,3
India,IND,1990,2
India,IND,1991,1
